cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
Cer-CycPro,DIAPH3,0.0,3.16473599663417,0.924,0.076,0.0,Cer
Cer-CycPro,MIR924HG,0.0,2.72216747941285,0.777,0.095,0.0,Cer
Cer-CycPro,APOLD1,0.0,2.63117729227409,0.613,0.049,0.0,Cer
Cer-CycPro,TOP2A,0.0,2.39595090192321,0.706,0.103,0.0,Cer
Cer-CycPro,KNL1,0.0,2.18703235932987,0.689,0.033,0.0,Cer
Cer-CycPro,BRIP1,0.0,2.08849661455601,0.763,0.109,0.0,Cer
Cer-CycPro,SMC4,0.0,2.08124967554442,0.772,0.101,0.0,Cer
Cer-CycPro,RRM2,0.0,2.07424129486969,0.723,0.03,0.0,Cer
Cer-CycPro,ASPM,0.0,2.04559825842336,0.587,0.039,0.0,Cer
Cer-CycPro,MELK,0.0,1.98978488908083,0.759,0.037,0.0,Cer
Cer-CycPro,CENPF,0.0,1.8572485372742,0.566,0.085,0.0,Cer
Cer-CycPro,CENPP,0.0,1.85399681542354,0.807,0.266,0.0,Cer
Cer-CycPro,NUSAP1,0.0,1.81693189260742,0.673,0.081,0.0,Cer
Cer-CycPro,KIF18B,0.0,1.78783901800744,0.619,0.016,0.0,Cer
Cer-CycPro,LINC01572,0.0,1.78123084463696,0.859,0.295,0.0,Cer
Cer-CycPro,FANCI,0.0,1.75011518619537,0.72,0.089,0.0,Cer
Cer-CycPro,CENPE,0.0,1.72859581705267,0.46,0.04,0.0,Cer
Cer-CycPro,CENPK,0.0,1.72247970515871,0.749,0.102,0.0,Cer
Cer-CycPro,MMS22L,0.0,1.71242962967361,0.756,0.195,0.0,Cer
Cer-CycPro,ATAD2,0.0,1.70302827002092,0.706,0.116,0.0,Cer
Cer-Endo,FLT1,0.0,4.47178171145429,0.722,0.009,0.0,Cer
Cer-Endo,IGFBP7,0.0,4.45963455269881,0.987,0.024,0.0,Cer
Cer-Endo,LINC02147,0.0,4.22706178754294,0.823,0.005,0.0,Cer
Cer-Endo,ITIH5,0.0,3.80838853911353,0.785,0.028,0.0,Cer
Cer-Endo,ITGA1,0.0,3.63276653927874,0.835,0.012,0.0,Cer
Cer-Endo,ITM2A,0.0,3.4670626133754,0.481,0.01,0.0,Cer
Cer-Endo,CGNL1,0.0,3.08493000858145,0.658,0.011,0.0,Cer
Cer-Endo,LEF1,0.0,2.98798554222703,0.823,0.022,0.0,Cer
Cer-Endo,SLC38A11,0.0,2.87517572906965,0.57,0.01,0.0,Cer
Cer-Endo,CYTOR,0.0,2.69653343700605,0.747,0.005,0.0,Cer
Cer-Endo,ETS1,0.0,2.68185350903623,0.759,0.007,0.0,Cer
Cer-Endo,FLI1,0.0,2.52081810092721,0.595,0.005,0.0,Cer
Cer-Endo,TRPC6,0.0,2.41731117736239,0.519,0.009,0.0,Cer
Cer-Endo,SULT1E1,0.0,2.39626082552959,0.456,0.002,0.0,Cer
Cer-Endo,LINC02208,0.0,2.3002839714024,0.57,0.01,0.0,Cer
Cer-Endo,EPAS1,0.0,2.21313973557349,0.696,0.017,0.0,Cer
Cer-Endo,AC106845.1,0.0,2.13800333229916,0.532,0.01,0.0,Cer
Cer-Endo,AC097528.1,0.0,1.96560555039081,0.418,0.004,0.0,Cer
Cer-Endo,AC017002.5,0.0,1.92667654755262,0.468,0.006,0.0,Cer
Cer-Endo,CARMN,0.0,1.89001918538753,0.481,0.002,0.0,Cer
Cer-ExN-1,AC116362.1,0.0,3.60889717883229,0.853,0.062,0.0,Cer
Cer-ExN-1,ERVMER61-1,0.0,3.47696072807856,0.975,0.207,0.0,Cer
Cer-ExN-1,ROBO1,0.0,3.28502651702952,0.985,0.626,0.0,Cer
Cer-ExN-1,GRIK2,0.0,2.90606113364411,0.997,0.661,0.0,Cer
