cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
Cluster ID,gene,,,,,,FC
FC-CycPro,KIF18B,0.0,1.32459939940664,0.469,0.034,0.0,FC
FC-CycPro,RRM2,3.58281960525066e-304,1.75288169265711,0.622,0.074,1.08523605843043e-299,FC
FC-CycPro,DLGAP5,1.12717627005634e-298,1.20757602934073,0.404,0.028,3.41421692200066e-294,FC
FC-CycPro,KIF14,8.2335683247653e-290,1.49441051878779,0.431,0.034,2.49394784557141e-285,FC
FC-CycPro,AURKB,2.34379038806772e-285,1.01513491349024,0.398,0.028,7.09934108545711e-281,FC
FC-CycPro,KIF15,5.0738968437487e-279,1.4753275326327,0.599,0.077,1.53688335397148e-274,FC
FC-CycPro,DIAPH3,4.0616751902981e-271,2.30376085499134,0.754,0.14,1.23028141514129e-266,FC
FC-CycPro,KIF11,1.03431157608715e-269,1.55702533946321,0.529,0.06,3.13292976396797e-265,FC
FC-CycPro,KIF23,1.66078114212478e-255,1.00942281319132,0.373,0.028,5.03050607949596e-251,FC
FC-CycPro,KIF4A,1.04607494166173e-254,1.26684418301055,0.439,0.041,3.16856099829336e-250,FC
FC-CycPro,CDC25C,1.0498732214563e-254,1.09493108895068,0.386,0.03,3.18006598779112e-250,FC
FC-CycPro,KNL1,1.25952979136486e-253,1.58302446099373,0.509,0.059,3.81511573804417e-249,FC
FC-CycPro,NEIL3,1.24458709157351e-252,0.814121426178685,0.328,0.021,3.76985430037616e-248,FC
FC-CycPro,MELK,5.25033151396014e-240,1.29444367850133,0.549,0.072,1.59032541557853e-235,FC
FC-CycPro,GTSE1,4.22621236935513e-236,1.07157365855885,0.373,0.031,1.28011972667767e-231,FC
FC-CycPro,CDCA2,5.13520590020613e-230,0.7432303063993,0.271,0.015,1.55545386717244e-225,FC
FC-CycPro,FOXN4,2.28303508860804e-227,0.874698281360521,0.348,0.028,6.91531328339374e-223,FC
FC-CycPro,SPC25,9.5419502431212e-227,1.07066760269636,0.484,0.058,2.89025672864141e-222,FC
FC-CycPro,BUB1,1.43663657789523e-222,1.13948821090036,0.361,0.031,4.35157219444465e-218,FC
FC-CycPro,CIT,2.32624731763405e-222,1.34527821348399,0.511,0.068,7.04620312511352e-218,FC
FC-Endo,FLT1,0.0,4.71196485648406,0.952,0.015,0.0,FC
FC-Endo,IGFBP7,0.0,4.71032006825253,0.976,0.016,0.0,FC
FC-Endo,ARHGAP29,0.0,3.95122469108947,0.952,0.013,0.0,FC
FC-Endo,EBF1,0.0,3.62906200010025,0.976,0.02,0.0,FC
FC-Endo,LEF1,0.0,3.28712441635817,0.881,0.017,0.0,FC
FC-Endo,CGNL1,0.0,3.07226198416019,0.762,0.005,0.0,FC
FC-Endo,ITIH5,0.0,2.65956034286103,0.595,0.008,0.0,FC
FC-Endo,FLI1,0.0,2.53961550240346,0.667,0.006,0.0,FC
FC-Endo,ADGRL4,0.0,2.53307671639319,0.738,0.009,0.0,FC
FC-Endo,EPAS1,0.0,2.47620433694617,0.786,0.006,0.0,FC
FC-Endo,CYTOR,0.0,2.20955068763655,0.738,0.004,0.0,FC
FC-Endo,ESAM,0.0,2.20769709391391,0.762,0.004,0.0,FC
FC-Endo,ADGRF5,0.0,2.19530699536021,0.69,0.007,0.0,FC
FC-Endo,EGR1,0.0,2.17441661375996,0.524,0.004,0.0,FC
FC-Endo,PECAM1,0.0,2.13970136031317,0.667,0.007,0.0,FC
FC-Endo,HLA-E,0.0,2.13846123948674,0.667,0.007,0.0,FC
FC-Endo,BGN,0.0,2.13333088228518,0.524,0.004,0.0,FC
FC-Endo,ABCG2,0.0,2.09595109197498,0.595,0.006,0.0,FC
FC-Endo,ID1,0.0,2.04229977499317,0.476,0.004,0.0,FC
FC-Endo,KDR,0.0,1.99819662619648,0.5,0.002,0.0,FC
FC-ExN-1,UNC5D,0.0,2.50076514148623,0.999,0.689,0.0,FC
FC-ExN-1,DPY19L1,0.0,2.05041756049515,0.92,0.352,0.0,FC
FC-ExN-1,NRP1,0.0,2.02266857485557,0.809,0.188,0.0,FC
FC-ExN-1,EML6,0.0,1.94824840359403,0.657,0.228,0.0,FC
FC-ExN-1,DOK6,0.0,1.84730921298413,0.976,0.657,0.0,FC
FC-ExN-1,CLMP,0.0,1.72234399449853,0.769,0.296,0.0,FC
FC-ExN-1,SORBS2,0.0,1.71148252154295,0.991,0.741,0.0,FC
FC-ExN-1,CNTNAP2,0.0,1.6351348222009,0.919,0.499,0.0,FC
FC-ExN-1,AC119868.2,0.0,1.59960575840789,0.673,0.187,0.0,FC
FC-ExN-1,NRG1,0.0,1.59890864115489,0.976,0.833,0.0,FC
FC-ExN-1,KCNQ3,0.0,1.57534827394507,0.988,0.756,0.0,FC
FC-ExN-1,SEMA3C,0.0,1.49071096423213,0.856,0.447,0.0,FC
FC-ExN-1,KCND2,0.0,1.47191446256472,0.79,0.406,0.0,FC
FC-ExN-1,CASC15,0.0,1.43951356692787,0.997,0.937,0.0,FC
FC-ExN-1,PLCB1,0.0,1.43836398785216,0.985,0.78,0.0,FC
FC-ExN-1,AC068931.1,0.0,1.27760121274579,0.576,0.191,0.0,FC
FC-ExN-1,MLLT3,0.0,1.26095917467393,0.998,0.908,0.0,FC
FC-ExN-1,DISP3,0.0,1.24627890721146,0.729,0.297,0.0,FC
FC-ExN-1,RBFOX3,0.0,1.21645734698825,0.816,0.43,0.0,FC
FC-ExN-1,CNR1,0.0,1.20909744084093,0.822,0.458,0.0,FC
FC-ExN-2,IQCJ-SCHIP1,0.0,3.25543039052169,0.883,0.35,0.0,FC
FC-ExN-2,PTPRK,0.0,3.19502875831816,0.993,0.559,0.0,FC
FC-ExN-2,TAFA1,0.0,3.13296368511367,0.998,0.436,0.0,FC
FC-ExN-2,RYR2,0.0,2.42990094229795,0.951,0.277,0.0,FC
FC-ExN-2,SYBU,0.0,2.35314269402217,0.923,0.204,0.0,FC
FC-ExN-2,CELF2,0.0,2.2568389063922,1.0,0.967,0.0,FC
FC-ExN-2,TENM2,0.0,2.18628797589076,0.991,0.6,0.0,FC
FC-ExN-2,RUNX1T1,0.0,2.17188510709513,0.998,0.844,0.0,FC
FC-ExN-2,PTPRT,0.0,2.12625167099358,0.762,0.205,0.0,FC
FC-ExN-2,FLRT2,0.0,2.07090311966833,0.989,0.615,0.0,FC
FC-ExN-2,TAFA2,0.0,2.0669429922281,0.832,0.372,0.0,FC
FC-ExN-2,MEF2C,0.0,2.06464294388832,0.999,0.726,0.0,FC
FC-ExN-2,PCSK2,0.0,2.05172965698989,0.828,0.21,0.0,FC
