cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
Cluster ID,gene,,,,,,GE
GE-CycPro,RRM2,0.0,2.15691342331069,0.632,0.055,0.0,GE
GE-CycPro,DIAPH3,0.0,2.12184507084827,0.682,0.099,0.0,GE
GE-CycPro,KNL1,0.0,1.91872945928001,0.581,0.061,0.0,GE
GE-CycPro,KIF11,0.0,1.73120649884105,0.562,0.062,0.0,GE
GE-CycPro,ARHGAP11B,0.0,1.65655986519606,0.48,0.042,0.0,GE
GE-CycPro,MELK,0.0,1.53498362331017,0.556,0.058,0.0,GE
GE-CycPro,CDC25C,0.0,1.4510359808011,0.412,0.032,0.0,GE
GE-CycPro,KIF18B,0.0,1.43048695684817,0.422,0.027,0.0,GE
GE-CycPro,KIF15,0.0,1.41513267919411,0.542,0.061,0.0,GE
GE-CycPro,BUB1B,0.0,1.3824643480526,0.424,0.027,0.0,GE
GE-CycPro,NDC80,0.0,1.30828094850271,0.458,0.042,0.0,GE
GE-CycPro,AURKB,0.0,1.30753734538014,0.412,0.029,0.0,GE
GE-CycPro,BRIP1,1.25411205440352e-301,1.76287310799414,0.658,0.104,3.68420498222123e-297,GE
GE-CycPro,NCAPG,1.62870223412728e-301,1.24365098106597,0.434,0.038,4.78463855319571e-297,GE
GE-CycPro,APOLD1,1.5114933815971e-298,2.62909235052546,0.634,0.106,4.4403141071178e-294,GE
GE-CycPro,CIT,1.65337987323647e-291,1.37274114816277,0.501,0.057,4.85713405360678e-287,GE
GE-CycPro,KIFC1,1.87222775850495e-287,1.21821517003961,0.414,0.037,5.50004348615998e-283,GE
GE-CycPro,C21orf58,4.16274001946192e-287,1.41139987391164,0.535,0.069,1.22288813551733e-282,GE
GE-CycPro,NUSAP1,2.60843615801598e-277,1.76294922155534,0.636,0.114,7.66280290140354e-273,GE
GE-CycPro,CENPK,1.01571158748864e-274,1.41001701136899,0.59,0.089,2.98385593056539e-270,GE
GE-InN-1,LHFPL3,0.0,1.68786227707965,0.845,0.295,0.0,GE
GE-InN-1,ATRNL1,0.0,1.67145773184988,0.985,0.665,0.0,GE
GE-InN-1,PAM,0.0,1.56597713586245,0.956,0.531,0.0,GE
GE-InN-1,GRIP1,0.0,1.44199058730569,0.947,0.651,0.0,GE
GE-InN-1,ERBB4,0.0,1.23597137937236,1.0,0.708,0.0,GE
GE-InN-1,PDE4D,0.0,1.17483433638833,0.999,0.8,0.0,GE
GE-InN-1,GRIA4,5.63664708283985e-291,1.2259706059773,0.921,0.43,1.65587781352586e-286,GE
GE-InN-1,PDZRN4,2.08627168897496e-276,1.21924825013135,0.881,0.427,6.12884034070173e-272,GE
GE-InN-1,RUNX1T1,6.81173776801773e-253,1.07703736165351,0.986,0.659,2.00108420411057e-248,GE
GE-InN-1,PRKD1,1.09067742168404e-247,1.25005131649177,0.915,0.579,3.2040830616812e-243,GE
GE-InN-1,BRINP2,3.66618925918168e-235,1.20962794971506,0.691,0.267,1.0770164186698e-230,GE
GE-InN-1,CCSER1,3.76912838838306e-231,0.970403951590729,1.0,0.735,1.10725684665529e-226,GE
GE-InN-1,PDE4DIP,5.99760798403713e-221,0.978069527762806,0.922,0.595,1.76191729747059e-216,GE
GE-InN-1,JAZF1,1.11883213487637e-220,1.11000539261686,0.844,0.46,3.28679316262631e-216,GE
GE-InN-1,LDLRAD4,7.38296313487676e-215,1.20618153770137,0.837,0.453,2.16889308013275e-210,GE
GE-InN-1,CADPS,1.38468517091004e-214,1.04109318751099,0.899,0.528,4.06778962658241e-210,GE
GE-InN-1,MIR181A1HG,3.45860547715967e-214,1.10098785779765,0.895,0.607,1.0160345310252e-209,GE
GE-InN-1,TENM3-AS1,4.40761418925138e-213,1.27839478878296,0.414,0.094,1.29482482037638e-208,GE
GE-InN-1,SOX11,3.15443839166394e-210,0.836011619852036,0.999,0.884,9.26679366319115e-206,GE
GE-InN-1,ADAMTS5,4.34775157498225e-207,1.01005056929662,0.446,0.116,1.27723898018253e-202,GE
GE-InN-2,PLXNA4,0.0,3.21018956395436,0.913,0.238,0.0,GE
GE-InN-2,AC092691.1,0.0,2.11531434801801,0.982,0.577,0.0,GE
GE-InN-2,LSAMP,0.0,1.89100423421805,0.991,0.837,0.0,GE
GE-InN-2,ZSWIM5,0.0,1.69866902428053,0.974,0.721,0.0,GE
GE-InN-2,SOX6,0.0,1.57488392215497,0.991,0.775,0.0,GE
GE-InN-2,TIAM1,4.0965415571655e-273,1.64715978457839,0.9,0.527,1.20344101324851e-268,GE
GE-InN-2,EFNA5,1.54790047396927e-265,1.8159161179165,0.728,0.265,4.54726722237954e-261,GE
GE-InN-2,DACH2,4.49205557177373e-245,1.62784559935832,0.821,0.402,1.31963116531997e-240,GE
GE-InN-2,STXBP5L,3.71564871328591e-239,1.52862740008786,0.911,0.611,1.091546122502e-234,GE
GE-InN-2,PDGFD,7.73072622097259e-238,1.64142471790313,0.785,0.344,2.27105544193512e-233,GE
GE-InN-2,ZNF536,2.21005446843862e-230,1.24965332389992,0.954,0.674,6.49247701193214e-226,GE
GE-InN-2,BEST3,2.74126009380433e-187,1.06938366349187,0.294,0.045,8.05299977756899e-183,GE
GE-InN-2,AC092691.3,4.65184406152853e-165,1.14638761533487,0.49,0.163,1.36657222995523e-160,GE
GE-InN-2,LHX6,9.04637165645502e-155,1.01081623477612,0.55,0.204,2.65755260151679e-150,GE
GE-InN-2,SAMD5,5.58914057412159e-147,1.33487247348333,0.42,0.123,1.6419218264597e-142,GE
GE-InN-2,CUX2,1.17033384068256e-145,1.13717569527123,0.818,0.482,3.43808972377315e-141,GE
GE-InN-2,SFTA3,2.97437230582731e-144,0.906389011714423,0.262,0.048,8.73781352282889e-140,GE
GE-InN-2,NRXN3,5.79429417704601e-144,0.631556808446937,0.999,0.9,1.70218980039081e-139,GE
GE-InN-2,DCLK2,1.24058393814902e-142,0.788529319941019,0.991,0.918,3.64446343510038e-138,GE
GE-InN-2,PLS3,2.92228495692309e-135,0.94034159830102,0.85,0.521,8.58479651795297e-131,GE
GE-InN-3,ADARB2,0.0,3.0611344878336,0.777,0.126,0.0,GE
GE-InN-3,THRB,0.0,2.2749209635284,0.972,0.282,0.0,GE
GE-InN-3,PRKCA,0.0,2.12173284958802,0.997,0.614,0.0,GE
GE-InN-3,NR2F2-AS1,0.0,1.94663284009817,0.573,0.101,0.0,GE
GE-InN-3,TNR,0.0,1.8682425170092,0.642,0.086,0.0,GE
GE-InN-3,PDZRN3,0.0,1.76423678939516,1.0,0.708,0.0,GE
GE-InN-3,PCDH9,0.0,1.76134011740123,0.985,0.547,0.0,GE
GE-InN-3,KCNJ3,0.0,1.66403784326834,0.419,0.037,0.0,GE
GE-InN-3,NR2F2,0.0,1.62820045880495,0.692,0.134,0.0,GE
GE-InN-3,AC012409.2,0.0,1.60462375473791,0.464,0.055,0.0,GE
GE-InN-3,NR2F1,1.3317484513933e-304,1.81773246617552,0.837,0.326,3.91227742565808e-300,GE
GE-InN-3,CALB2,7.70363211014409e-299,1.39317294403433,0.413,0.05,2.26309600499703e-294,GE
GE-InN-3,PRKCA-AS1,9.39901779175013e-278,1.63471631633499,0.752,0.245,2.76114945668244e-273,GE
GE-InN-3,NFIB,6.48399454788668e-276,1.19520520166774,0.998,0.872,1.90480307833267e-271,GE
GE-InN-3,NRIP3,2.241512571129e-266,0.91380246840723,0.257,0.014,6.58489148020566e-262,GE
GE-InN-3,DLX6-AS1,1.10875222850953e-244,1.04506112416784,0.998,0.793,3.25718142169244e-240,GE
GE-InN-3,ANKS1B,9.40799054839593e-239,1.16124225115584,0.998,0.835,2.76378538340227e-234,GE
GE-InN-3,CSMD3,2.11604309652425e-231,1.5572321158587,0.869,0.437,6.2162998046593e-227,GE
GE-InN-3,ZBTB16,5.6542518623114e-212,1.24929554534345,0.676,0.221,1.66104956959122e-207,GE
GE-InN-3,EYA1,8.9122786642213e-212,1.41622555492987,0.456,0.095,2.61816010318829e-207,GE
GE-InN-4,LINC02487,0.0,1.76491435158459,0.615,0.112,0.0,GE
GE-InN-4,ENOX1,2.73414813822603e-301,1.70831121163297,0.973,0.689,8.03210698566661e-297,GE
GE-InN-4,PCDH9,2.39756290629765e-291,1.79346211486508,0.97,0.55,7.04332054983059e-287,GE
GE-InN-4,SYNPR,1.43095244826261e-211,1.39738119030369,0.39,0.069,4.20370900726107e-207,GE
GE-InN-4,DLX6-AS1,5.28566586137802e-200,0.995544654609828,1.0,0.793,1.55277006009702e-195,GE
GE-InN-4,AL078602.1,5.67577415140601e-194,1.8940792788107,0.328,0.05,1.66737217245854e-189,GE
GE-InN-4,FOXP2,3.75336550005252e-193,2.07724080704437,0.636,0.224,1.10262618295043e-188,GE
GE-InN-4,THRB,6.01945239697723e-192,1.34092760006191,0.772,0.309,1.76833453066e-187,GE
GE-InN-4,PCDH9-AS2,1.80843712317067e-188,1.36784873441757,0.613,0.199,5.31264573673848e-184,GE
GE-InN-4,PRKCA,3.70532395425992e-184,1.30225325187119,0.923,0.624,1.08851301804294e-179,GE
GE-InN-4,SHTN1,3.56802237153707e-183,1.23672535536013,0.938,0.716,1.04817793208644e-178,GE
