cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
Cluster ID,gene,,,,,,Hipp
Hipp-CR-1,ERVMER61-1,0.0,4.05008233535808,0.822,0.067,0.0,Hipp
Hipp-CR-1,RELN,0.0,3.48414364062523,0.965,0.183,0.0,Hipp
Hipp-CR-1,AC096570.1,0.0,3.42607404686411,0.461,0.066,0.0,Hipp
Hipp-CR-1,FSTL4,0.0,3.06437445964834,0.696,0.133,0.0,Hipp
Hipp-CR-1,GRIK2,0.0,2.8530382499436,0.952,0.473,0.0,Hipp
Hipp-CR-1,GPC5,0.0,2.77916866328856,0.696,0.174,0.0,Hipp
Hipp-CR-1,RYR3,0.0,2.63531593095432,0.86,0.182,0.0,Hipp
Hipp-CR-1,AL137139.2,0.0,2.62683320638298,0.89,0.211,0.0,Hipp
Hipp-CR-1,AC116362.1,0.0,2.62623932121982,0.41,0.031,0.0,Hipp
Hipp-CR-1,UNC13C,0.0,2.60718091255193,0.826,0.189,0.0,Hipp
Hipp-CR-1,ERBB4,0.0,2.53308636503391,0.995,0.453,0.0,Hipp
Hipp-CR-1,THSD7B,0.0,2.38470063348409,0.709,0.219,0.0,Hipp
Hipp-CR-1,AC093765.3,0.0,2.34088106347357,0.49,0.032,0.0,Hipp
Hipp-CR-1,AC007614.1,0.0,2.3088215291078,0.534,0.042,0.0,Hipp
Hipp-CR-1,GPC6,0.0,2.30406762369592,0.912,0.334,0.0,Hipp
Hipp-CR-1,KLHL29,0.0,2.29421029322338,0.774,0.288,0.0,Hipp
Hipp-CR-1,MYRIP,0.0,2.25079027933145,0.656,0.152,0.0,Hipp
Hipp-CR-1,RBFOX3,0.0,2.20442760670314,0.679,0.132,0.0,Hipp
Hipp-CR-1,GRM8,0.0,2.13744326603583,0.604,0.119,0.0,Hipp
Hipp-CR-1,EPB41L4A,0.0,2.06815235717599,0.71,0.202,0.0,Hipp
Hipp-CR-2,CYYR1,0.0,2.04349218039781,0.439,0.023,0.0,Hipp
Hipp-CR-2,HS3ST3A1,0.0,1.80851946680217,0.296,0.008,0.0,Hipp
Hipp-CR-2,NTN1,1.59764400475263e-257,2.388745578648,0.571,0.061,4.7734407573999e-253,Hipp
Hipp-CR-2,ROR2,4.5972054685234e-254,2.15133036666958,0.422,0.031,1.37355304988542e-249,Hipp
Hipp-CR-2,LINC02223,3.73827006510481e-209,2.15253439306633,0.537,0.066,1.11692033005201e-204,Hipp
Hipp-CR-2,TRHDE,1.47609245967167e-205,2.24276892464058,0.531,0.065,4.410269051007e-201,Hipp
Hipp-CR-2,ADAMTS6,6.77775097861441e-174,2.30219938471607,0.861,0.218,2.02505643739041e-169,Hipp
Hipp-CR-2,GPC6,7.1152366100425e-153,2.34632927107791,0.952,0.385,2.1258903943485e-148,Hipp
Hipp-CR-2,ZEB1,8.45267232175002e-152,2.45510918445299,0.925,0.375,2.52548943629247e-147,Hipp
Hipp-CR-2,NDST3,2.56956530563887e-150,2.34252733411977,0.748,0.194,7.67734722018783e-146,Hipp
Hipp-CR-2,RYR3,7.98467209196833e-148,2.2001048737729,0.827,0.243,2.3856603276383e-143,Hipp
Hipp-CR-2,AL137139.2,4.45916598312443e-143,1.92718312578113,0.891,0.271,1.33230961243792e-138,Hipp
Hipp-CR-2,NFIA-AS2,1.40518729530002e-140,2.04196140155068,0.656,0.148,4.1984186008974e-136,Hipp
Hipp-CR-2,RNF220,1.11925432645452e-136,2.21638835507393,0.418,0.059,3.3441080765808e-132,Hipp
Hipp-CR-2,THSD7B,1.30071166616999e-136,2.21398674413773,0.81,0.26,3.8862663161827e-132,Hipp
Hipp-CR-2,PCBP3,7.81412106443914e-132,2.16430146297966,0.646,0.157,2.33470309163313e-127,Hipp
Hipp-CR-2,RAB26,1.42685751134507e-131,1.65024635823575,0.289,0.029,4.2631648723968e-127,Hipp
Hipp-CR-2,RELN,3.87074251547296e-130,1.66206699611694,0.857,0.255,1.15650044877301e-125,Hipp
Hipp-CR-2,FSTL4,1.16861534296498e-128,2.2880907111165,0.697,0.183,3.49158892171076e-124,Hipp
Hipp-CR-2,AC092957.1,1.62543404411521e-128,1.71524418720396,0.949,0.321,4.85647183700742e-124,Hipp
Hipp-CycPro,DIAPH3,0.0,3.14983850869477,0.791,0.051,0.0,Hipp
Hipp-CycPro,APOLD1,0.0,2.71934236046533,0.506,0.027,0.0,Hipp
Hipp-CycPro,MIR924HG,0.0,2.64569226539904,0.614,0.058,0.0,Hipp
Hipp-CycPro,TOP2A,0.0,2.54641435393521,0.57,0.044,0.0,Hipp
Hipp-CycPro,KNL1,0.0,2.2233263158526,0.462,0.021,0.0,Hipp
Hipp-CycPro,MELK,0.0,1.89445981598135,0.425,0.024,0.0,Hipp
Hipp-CycPro,RRM2,0.0,1.89136540790917,0.381,0.02,0.0,Hipp
Hipp-CycPro,KIF18B,0.0,1.8780770288038,0.361,0.012,0.0,Hipp
Hipp-CycPro,CDC25C,0.0,1.82534775981829,0.346,0.014,0.0,Hipp
Hipp-CycPro,KIF11,0.0,1.73691088099077,0.359,0.02,0.0,Hipp
Hipp-CycPro,KIF14,0.0,1.7305250430092,0.31,0.015,0.0,Hipp
Hipp-CycPro,KIF4A,0.0,1.71955636483138,0.342,0.016,0.0,Hipp
Hipp-CycPro,SMC4,7.51435460154857e-301,2.07279882093142,0.516,0.054,2.24513886785068e-296,Hipp
Hipp-CycPro,MKI67,2.1192542948393e-287,1.64548119157356,0.319,0.018,6.33190798212085e-283,Hipp
Hipp-CycPro,ARHGAP11B,2.8674130175121e-286,1.74369708831055,0.346,0.022,8.56725661372265e-282,Hipp
Hipp-CycPro,ECT2,2.06370792987645e-278,1.75847857353919,0.361,0.025,6.16594655288487e-274,Hipp
Hipp-CycPro,NUSAP1,2.04624785006582e-277,1.94276929316034,0.455,0.044,6.11377932642667e-273,Hipp
Hipp-CycPro,ASPM,4.35685076765983e-265,2.07693189694428,0.396,0.034,1.3017398723614e-260,Hipp
Hipp-CycPro,TPX2,1.50365355041571e-258,1.73256129776136,0.332,0.023,4.49261607793206e-254,Hipp
Hipp-CycPro,CENPF,4.39404184903383e-248,2.13795543089492,0.423,0.042,1.31285182365433e-243,Hipp
Hipp-Endo,FLT1,0.0,4.60640743849591,0.667,0.005,0.0,Hipp
Hipp-Endo,LINC02147,0.0,4.46061310502749,0.762,0.005,0.0,Hipp
Hipp-Endo,IGFBP7,0.0,3.96006126743593,0.857,0.009,0.0,Hipp
Hipp-Endo,ITGA1,0.0,3.78398227719679,0.738,0.005,0.0,Hipp
Hipp-Endo,ITIH5,0.0,3.76574219689144,0.738,0.012,0.0,Hipp
Hipp-Endo,SULT1E1,0.0,2.97729571895698,0.476,0.0,0.0,Hipp
Hipp-Endo,SLC38A11,0.0,2.81951398813469,0.5,0.005,0.0,Hipp
Hipp-Endo,CYTOR,0.0,2.59215002502024,0.595,0.003,0.0,Hipp
Hipp-Endo,CARMN,0.0,1.85088094581692,0.381,0.001,0.0,Hipp
Hipp-Endo,CFH,0.0,1.65945058616164,0.31,0.001,0.0,Hipp
Hipp-Endo,ADCY4,0.0,1.56259102614887,0.262,0.001,0.0,Hipp
Hipp-Endo,TBX18,0.0,1.44484452478543,0.333,0.0,0.0,Hipp
Hipp-Endo,FOXF2,0.0,1.39908934829511,0.286,0.0,0.0,Hipp
Hipp-Endo,AC097528.1,1.07330031694969e-306,1.77330750819914,0.31,0.002,3.20680668698229e-302,Hipp
Hipp-Endo,LINC02208,4.04642906708217e-294,1.80439588432018,0.452,0.005,1.20899207666281e-289,Hipp
Hipp-Endo,EDNRA,3.67943063375895e-271,2.98412603227382,0.595,0.01,1.0993402847545e-266,Hipp
Hipp-Endo,FLI1,1.36861498374421e-263,2.30331237198821,0.381,0.004,4.08914784843094e-259,Hipp
Hipp-Endo,ADGRF5,1.84588064436407e-261,1.51416695285355,0.286,0.002,5.51512218923097e-257,Hipp
Hipp-Endo,BGN,1.37881561380315e-258,1.24840477982019,0.262,0.001,4.11962529092106e-254,Hipp
Hipp-Endo,CGNL1,1.35126744800962e-234,2.72198064679347,0.452,0.006,4.03731688116314e-230,Hipp
Hipp-ExN-1,CNTNAP4,0.0,2.68439789646112,0.897,0.218,0.0,Hipp
Hipp-ExN-1,RORA,0.0,2.48277937810759,1.0,0.784,0.0,Hipp
Hipp-ExN-1,ADGRL2,0.0,2.47555820035979,0.971,0.351,0.0,Hipp
Hipp-ExN-1,DAB1,0.0,2.29403292863824,1.0,0.623,0.0,Hipp
Hipp-ExN-1,ITPR1,0.0,2.29013015796059,0.957,0.202,0.0,Hipp
Hipp-ExN-1,OPCML,0.0,2.23157779692409,0.975,0.364,0.0,Hipp
Hipp-ExN-1,FOXP2,0.0,2.1797107381934,0.995,0.393,0.0,Hipp
Hipp-ExN-1,DGKH,0.0,2.17372026506615,0.87,0.228,0.0,Hipp
Hipp-ExN-1,EBF1,0.0,2.07619983874669,0.991,0.377,0.0,Hipp
Hipp-ExN-1,HS6ST3,0.0,2.07226260605786,0.969,0.367,0.0,Hipp
Hipp-ExN-1,AC012404.1,0.0,2.03932666466983,0.786,0.228,0.0,Hipp
Hipp-ExN-1,COL24A1,0.0,2.00229358129833,0.628,0.098,0.0,Hipp
Hipp-ExN-1,CA8,0.0,1.98870835297948,0.928,0.24,0.0,Hipp
Hipp-ExN-1,RORA-AS1,0.0,1.96899782354118,0.756,0.199,0.0,Hipp
Hipp-ExN-1,PRKG1,0.0,1.94271715475897,0.994,0.587,0.0,Hipp
Hipp-ExN-1,GRM7,0.0,1.94000370835765,0.95,0.332,0.0,Hipp
Hipp-ExN-1,GRIK1,0.0,1.93614550706093,0.919,0.376,0.0,Hipp
Hipp-ExN-1,TENM3,0.0,1.90519103266713,0.863,0.444,0.0,Hipp
Hipp-ExN-1,MEF2C,0.0,1.89344053313145,0.859,0.259,0.0,Hipp
Hipp-ExN-1,RALYL,0.0,1.89291989476173,0.989,0.505,0.0,Hipp
Hipp-ExN-2,AC011287.1,0.0,2.58512686108802,0.71,0.156,0.0,Hipp
Hipp-ExN-2,IL1RAPL2,0.0,2.4602812460845,0.918,0.234,0.0,Hipp
Hipp-ExN-2,NPSR1,0.0,2.42001493966366,0.492,0.017,0.0,Hipp
Hipp-ExN-2,LINC02336,0.0,2.39752161371164,0.763,0.117,0.0,Hipp
Hipp-ExN-2,AL589693.1,0.0,2.13398634962445,0.888,0.266,0.0,Hipp
Hipp-ExN-2,EBF2,0.0,2.10512931284832,0.479,0.06,0.0,Hipp
Hipp-ExN-2,PDE11A,0.0,2.07816966517999,0.704,0.127,0.0,Hipp
Hipp-ExN-2,PDE1C,0.0,2.03165872859142,0.962,0.466,0.0,Hipp
Hipp-ExN-2,AC012409.2,0.0,1.99507927870727,0.874,0.272,0.0,Hipp
Hipp-ExN-2,EBF1,0.0,1.80184325412918,1.0,0.516,0.0,Hipp
Hipp-ExN-2,TMEM132D,0.0,1.78630741554301,0.936,0.338,0.0,Hipp
Hipp-ExN-2,FOXP2,8.91298744142672e-298,1.57300879990988,1.0,0.529,2.66302238774948e-293,Hipp
Hipp-ExN-2,ITPR1,9.98654671292351e-291,1.56937057657366,0.973,0.372,2.98378042688729e-286,Hipp
Hipp-ExN-2,KCNMA1,1.79958085243709e-289,1.72486106555755,0.94,0.472,5.37678767091154e-285,Hipp
Hipp-ExN-2,CADM2,1.99527469779799e-282,1.40404890787589,1.0,0.756,5.96148174208084e-278,Hipp
Hipp-ExN-2,ASTN2,7.00197049501982e-245,1.46138249117232,0.927,0.459,2.09204874450202e-240,Hipp
Hipp-ExN-2,RBFOX1,6.5479207200781e-242,1.44498876077854,0.967,0.583,1.95638775274493e-237,Hipp
Hipp-ExN-2,NDNF,6.66271984166342e-242,1.30301748937002,0.365,0.052,1.9906874342922e-237,Hipp
Hipp-ExN-2,CA8,2.12981001221115e-238,1.3601661612647,0.938,0.395,6.36344635448447e-234,Hipp
Hipp-ExN-2,NPSR1-AS1,3.64006550836035e-226,1.28203243870807,0.298,0.037,1.08757877258791e-221,Hipp
Hipp-ExN-3,ZBTB20,0.0,3.13418494737032,0.979,0.494,0.0,Hipp
Hipp-ExN-3,CLSTN2,0.0,3.02283599412021,0.893,0.235,0.0,Hipp
Hipp-ExN-3,CACNA2D3,0.0,2.80513484816864,0.834,0.122,0.0,Hipp
Hipp-ExN-3,SEMA5A,0.0,2.7663958775476,0.692,0.081,0.0,Hipp
Hipp-ExN-3,SEMA3C,0.0,2.63033275818586,0.841,0.07,0.0,Hipp
Hipp-ExN-3,BHLHE22,0.0,2.48582476840838,0.853,0.079,0.0,Hipp
Hipp-ExN-3,LINC01322,0.0,2.44591890473046,0.772,0.164,0.0,Hipp
Hipp-ExN-3,PLXNA2,0.0,2.42597773552212,0.946,0.208,0.0,Hipp
Hipp-ExN-3,FRMD4B,0.0,2.40567219926865,0.936,0.244,0.0,Hipp
