cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
Cluster ID,gene,,,,,,Thal
Thal-CycPro,DIAPH3,0.0,3.21253483709778,0.843,0.064,0.0,Thal
Thal-CycPro,MIR924HG,0.0,2.79368997315492,0.71,0.073,0.0,Thal
Thal-CycPro,APOLD1,0.0,2.71730928868926,0.578,0.032,0.0,Thal
Thal-CycPro,TOP2A,0.0,2.40261271434707,0.619,0.074,0.0,Thal
Thal-CycPro,KNL1,0.0,2.3146305517551,0.596,0.027,0.0,Thal
Thal-CycPro,RRM2,0.0,2.08508217497007,0.584,0.023,0.0,Thal
Thal-CycPro,MELK,0.0,2.07317139669692,0.606,0.028,0.0,Thal
Thal-CycPro,SMC4,0.0,2.04138053373846,0.593,0.074,0.0,Thal
Thal-CycPro,ASPM,0.0,2.03434885984868,0.481,0.032,0.0,Thal
Thal-CycPro,BRIP1,0.0,1.96564160599985,0.588,0.087,0.0,Thal
Thal-CycPro,CENPF,0.0,1.93101148415463,0.487,0.064,0.0,Thal
Thal-CycPro,NUSAP1,0.0,1.86515031863273,0.556,0.061,0.0,Thal
Thal-CycPro,CENPE,0.0,1.77239090838626,0.381,0.034,0.0,Thal
Thal-CycPro,KIF18B,0.0,1.76786012514725,0.479,0.013,0.0,Thal
Thal-CycPro,KIF11,0.0,1.74139144995816,0.511,0.025,0.0,Thal
Thal-CycPro,ATAD2,0.0,1.73381028145925,0.546,0.084,0.0,Thal
Thal-CycPro,CDC25C,0.0,1.71343780423396,0.446,0.013,0.0,Thal
Thal-CycPro,KIF14,0.0,1.70508367732559,0.411,0.018,0.0,Thal
Thal-CycPro,TPX2,0.0,1.68668657905899,0.436,0.035,0.0,Thal
Thal-CycPro,CENPK,0.0,1.64381790501464,0.549,0.081,0.0,Thal
Thal-Endo,FLT1,0.0,4.60859357080336,0.691,0.006,0.0,Thal
Thal-Endo,LINC02147,0.0,4.40214955618084,0.735,0.005,0.0,Thal
Thal-Endo,MIR4435-2HG,0.0,4.16359969903186,0.853,0.032,0.0,Thal
Thal-Endo,IGFBP7,0.0,4.08822593045596,0.985,0.018,0.0,Thal
Thal-Endo,ITGA1,0.0,3.80662131661199,0.824,0.008,0.0,Thal
Thal-Endo,CYTOR,0.0,3.06027274508556,0.735,0.004,0.0,Thal
Thal-Endo,SLC38A11,0.0,3.05332468947368,0.618,0.007,0.0,Thal
Thal-Endo,LINC02208,0.0,2.51111182135579,0.559,0.009,0.0,Thal
Thal-Endo,SULT1E1,0.0,2.44211955905311,0.426,0.001,0.0,Thal
Thal-Endo,AC097528.1,0.0,2.42248307582077,0.529,0.003,0.0,Thal
Thal-Endo,CARMN,0.0,2.23383199861904,0.456,0.001,0.0,Thal
Thal-Endo,AC017002.5,0.0,2.1958704821478,0.456,0.004,0.0,Thal
Thal-Endo,AC106845.1,0.0,2.18152264117887,0.559,0.01,0.0,Thal
Thal-Endo,ETS1,0.0,2.0896327943485,0.544,0.007,0.0,Thal
Thal-Endo,ADGRF5,0.0,1.96073578834804,0.588,0.004,0.0,Thal
Thal-Endo,KCNE4,0.0,1.89277374172809,0.426,0.006,0.0,Thal
Thal-Endo,LAMC3,0.0,1.87595179291044,0.456,0.008,0.0,Thal
Thal-Endo,FLI1,0.0,1.81886870501512,0.382,0.005,0.0,Thal
Thal-Endo,CYSLTR2,0.0,1.80243779492327,0.338,0.0,0.0,Thal
Thal-Endo,BGN,0.0,1.77127658973081,0.456,0.003,0.0,Thal
Thal-ExN-1,RNF220,0.0,3.99649860864794,0.991,0.141,0.0,Thal
Thal-ExN-1,NTNG1,0.0,3.44503852513647,0.99,0.231,0.0,Thal
Thal-ExN-1,CACNA2D3,0.0,2.82747868436415,0.967,0.187,0.0,Thal
Thal-ExN-1,MAST4,0.0,2.78357195563539,0.978,0.246,0.0,Thal
Thal-ExN-1,TCF7L2,0.0,2.77844851691667,0.997,0.297,0.0,Thal
Thal-ExN-1,RIT2,0.0,2.77470968914627,0.931,0.103,0.0,Thal
Thal-ExN-1,ZFHX3,0.0,2.68814245006115,0.972,0.203,0.0,Thal
Thal-ExN-1,CPNE4,0.0,2.68599002676975,0.924,0.17,0.0,Thal
Thal-ExN-1,IQCJ-SCHIP1,0.0,2.65961495587648,0.886,0.15,0.0,Thal
Thal-ExN-1,NXPH1,0.0,2.58757047980786,0.891,0.142,0.0,Thal
Thal-ExN-1,RBFOX1,0.0,2.47679779353921,0.994,0.659,0.0,Thal
Thal-ExN-1,TENM4,0.0,2.43468984658574,0.952,0.314,0.0,Thal
Thal-ExN-1,PTPRD,0.0,2.32109421831636,1.0,0.894,0.0,Thal
Thal-ExN-1,FAT3,0.0,2.30715421103431,0.994,0.416,0.0,Thal
Thal-ExN-1,SAMD5,0.0,2.28733108637116,0.967,0.248,0.0,Thal
Thal-ExN-1,AL033504.1,0.0,2.20031846535172,0.955,0.22,0.0,Thal
Thal-ExN-1,PRR16,0.0,2.16495676412025,0.809,0.093,0.0,Thal
Thal-ExN-1,CELF4,0.0,2.12273102341101,0.987,0.396,0.0,Thal
Thal-ExN-1,RASGEF1B,0.0,2.1104560879089,0.963,0.32,0.0,Thal
Thal-ExN-1,IGSF21,0.0,2.09207192041582,0.824,0.124,0.0,Thal
Thal-ExN-2,LINC02306,0.0,3.93706739712872,0.946,0.024,0.0,Thal
Thal-ExN-2,LINC00923,0.0,2.01191078041833,0.66,0.029,0.0,Thal
Thal-ExN-2,AC002072.1,0.0,1.52418401191753,0.409,0.014,0.0,Thal
Thal-ExN-2,AC022523.1,0.0,1.50852230875931,0.498,0.026,0.0,Thal
Thal-ExN-2,AL132633.1,0.0,1.20994412936858,0.369,0.004,0.0,Thal
Thal-ExN-2,ADGRL4,4.31378936186459e-283,1.29449160561324,0.365,0.015,1.36203585311513e-278,Thal
